Jurisdiction	Bill	Title	Status	Summary	Category	Links
New York	A 10364	Registration of Artificial Intelligence Companies	Pending	Requires the registration of certain companies whose primary business purpose is related to AI as evidenced by their North American Industry Classification System code.	Private Sector Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10364&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	A 10625	Division of Criminal Justice Services	Pending	Requires the Division of Criminal Justice Services to formulate a protocol for the regulation of the use of AI and facial recognition technology in criminal investigations; restricts the use of AI-generated outputs in court.	Government Use; Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10625&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	S 8206	Collection of Oaths of Responsible Use	Pending	Requires the collection of oaths of responsible use from users of certain generative or surveillance advanced AI systems by the operators of such systems, and transmission of such oaths to the attorney general.	Government Use; Private Sector Use; Responsible Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000S8206&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	S 8214	Registration of Artificial Intelligence Companies	Pending	Requires the registration of certain companies whose primary business purpose is related to AI as evidenced by their North American Industry Classification System code.	Private Sector Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000S8214&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	S 8390	Admissibility of Evidence Created by AI	Pending	Sets rules and procedures for the admissibility of evidence created or processed by AI.	Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000S8390&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	S 9640	Certification of Filings Produced Using Generative AI	Pending	Amends the Civil Practice Law and Rules Law; requires certification of filings produced using generative AI; requires the brief of an appellant to contain a disclosure of the use of generative AI in the drafting of the brief and certification that the content therein was reviewed and verified by a human.	Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000S9640&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	S 9832	Registration and Duties of Model Management Companies	To governor	Requires litigants to disclose use of generative AI in court filings.	Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000S9832&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Oregon	S 1571	AI in Campaign Ads	Enacted	Relates to the use of AI in campaign communications; provides that a campaign communication that includes any form of synthetic media must include a disclosure stating that the image, audio recording or video recording has been manipulated; provides that the secretary of state may institute proceedings to enjoin any violation of this requirement; provides that the court shall impose a civil penalty.	Elections	http://custom.statenet.com/public/resources.cgi?id=ID:bill:OR2024000S1571&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Rhode Island	H 6286	Generative Artificial Intelligence Models Regulations	Pending	Authorizes the office of attorney general to promulgate, adopt and enforce rules and regulations concerning generative AI models, such as ChatGPT to protect the public's safety, privacy, and intellectual property rights.	Private Sector Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:RI2023000H6286&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Rhode Island	S 146	Use of Facial and Bio Metric Recognition Technology	Pending	Relates to state affairs and government; relates to video lottery games, table games and sports wagering; relates to the Rhode Island Consumer Protection Gaming Act; prohibits the use of facial recognition technology and biometric recognition technology in video-lottery terminals at pari-mutuel licensees in the state or in online betting applications.	Private Sector Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:RI2023000S146&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Utah	H 366	Criminal Justice Amendments	Enacted	Amends provisions regarding the chair of a Criminal Justice Coordinating Council; amends the crime for an escape; moves the crime for an aggravated escape to a separate statute; addresses the use of an algorithm or a risk assessment tool score in determinations about pretrial release, diversion, sentencing, probation and parole; relates to pretrial risk assessment tools; provides that the court may not rely solely on an algorithm or a risk assessment tool score when making any decision regarding probation.	Government Use; Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2024000H366&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Virginia	H 747	Artificial Intelligence Developer Act	Pending - Carryover	Relates to Artificial Intelligence Developer Act established; relates to civil penalty; creates operating standards for developers and deployers, as those terms are defined in the bill, relating to AI, including avoiding certain risks, protecting against discrimination, providing disclosures and conducting impact assessments and provides that the Office of the Attorney General shall enforce the provisions of the bill.	Health Use; Impact Assessment; Private Sector Use; Responsible Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H747&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Washington	S 6073	Use of Artificial Intelligence Language Learning Models	Failed - Adjourned	Concerns the use of AI language learning models in official court filings.	Judicial Use; Notification	http://custom.statenet.com/public/resources.cgi?id=ID:bill:WA2023000S6073&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
