Jurisdiction	Bill	Title	Status	Summary	Category	Links
California	A 331	Automated Decision Tools	Failed	Relates to the State Fair Employment and Housing Act. Requires a deployer and a developer of an automated decision tool to perform an impact assessment for any such tool the deployer uses that includes a statement of the purpose of the tool and its intended benefits, uses and deployment contexts. Requires a public attorney to, before commencing an action for injunctive relief, provide written notice to a deployer or developer of the alleged violations and provide a specified opportunity to cure violations.	Impact Assessment; Notification; Private Sector Use; Responsible Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A331&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California	A 2811	Attorneys: Court Filings: Artificial Intelligence	Pending	Requires an attorney to execute and maintain, for a specified period, an affidavit certifying whether generative AI, was used in the drafting of each document that the attorney files, or intends to file, in a state or federal court within the state. Requires an attorney to, upon request or demand by a state or federal court within the state, file the affidavit with the court, provided that the retention period has not yet expired.	Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2811&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California	S 970	Artificial Intelligence Technology	Pending	Relates to AI technology. Defines various terms related to AIand synthetic voice, video and image recordings produced by AI, and would clarify that use of such synthetic recordings, as specified, is deemed to be a false personation for purposes of these and other criminal provisions.	Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S970&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California	S 1047	Safe and Secure Innovation	To governor	Enacts the Safe and Secure Innovation for Frontier Artificial Intelligence Models Act to, among other things, require that a developer, before beginning to initially train a covered model, comply with various requirements, including implementing the capability to promptly enact a full shutdown and implement a written and separate safety and security protocol. Requires a developer of a covered model to submit to the attorney general a statement of compliance with these provisions.	Oversight/Governance; Private Sector Use; Responsible Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S1047&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California	S 1154	California Preventing Algorithmic Collusion Act of 2024	Pending	Provides that the Cartwright Act identifies certain acts that are unlawful restraints of trade and unlawful trusts and prescribes provisions for its enforcement through civil actions. Provides for the California Preventing Algorithmic Collusion Act of 2024, which would require a person, upon request of the attorney general, to provide to the attorney general a written report on each pricing algorithm identified in the request.	Oversight/Governance; Private Sector Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000S1154&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Delaware	H 333	Artificial Intelligence Commission	Enacted	Creates the Delaware Artificial Intelligence Commission; provides that this commission shall be tasked with making recommendations to the General Assembly and Department of Technology and Information on AI utilization and safety within the state; provides that the commission shall additionally conduct an inventory of all generative AI usage within state executive, legislative and judicial agencies and identify high risk areas for the implementation of generative AI.	Government Use; Studies	http://custom.statenet.com/public/resources.cgi?id=ID:bill:DE2023000H333&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Florida	H 1461	Public Records and Investigations	Failed - Adjourned	Provides exemption from public records requirements for information relating to investigations by Department of Legal Affairs and law enforcement agencies of certain AI transparency violations; provides for future legislative review and repeal of exemption; provides statement of public necessity.	Oversight/Governance	http://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2024000H1461&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Florida	S 1682	Public Records and Artificial Intelligence Transparency	Failed	Provides an exemption from public records requirements for information relating to investigations by the Department of Legal Affairs and law enforcement agencies of certain AI transparency violations; provides that certain information received by the department remains confidential and exempt upon completion or inactive status of an investigation; provides for future legislative review and repeal of the exemption; provides a statement of public necessity.	Government Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:FL2024000S1682&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Hawaii	H 1607	Algorithmic Decision Making	Failed - Adjourned	Prohibits users of algorithmic decision making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires users of algorithmic decision making to send corresponding notices to individual's whose personal information is used; requires users of algorithmic decision making to submit annual reports to the Department of the Attorney General; provides for appropriate means of civil enforcement.	Audit; Notification; Private Sector Use; Responsible Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000H1607&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Hawaii	HCR 65	Law Enforcement Artificial Intelligence Training	Failed - Adjourned	Urges the leadership of the Department of Law Enforcement to periodically undergo training on crimes relating to AI technology.	Criminal Use; Government Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000HCR65&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Hawaii	HR 48	Law Enforcement Artificial Intelligence Training	Failed - Adjourned	Urges the leadership of the Department of Law Enforcement to periodically undergo training on crimes relating to AI technology.	Criminal Use; Government Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000HR48&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Hawaii	S 2524	Algorithmic Eligibility Determinations	Failed - Adjourned	Prohibits users of algorithmic decision making from utilizing algorithmic eligibility determinations in a discriminatory manner; requires users of algorithmic decision making to send corresponding notices to individual's whose personal information is used; requires users of algorithmic decision making to submit annual reports to the Department of the Attorney General; provides for appropriate means of civil enforcement.	Audit; Impact Assessment; Notification; Private Sector Use; Responsible Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000S2524&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Louisiana	HCR 66	Legislative Committees	Adopted	Provides for a joint legislative committee to study regulations regarding AI.	Education Use; Government Use; Judicial Use; Responsible Use; Studies	http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2024000HCR66&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Louisiana	S 442	Education Department	Failed - Adjourned	Creates a program to provide firearm detection software that detects visible firearms on school property and alerts local law enforcement agencies.	Education Use; Government Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2024000S442&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Massachusetts	S 2850	Affordable Homes Act	Pending	Requires the attorney general to conduct a study of algorithmic collusion in the residential housing market.	Housing; Private Sector Use; Studies	http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000S2850&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	A 4534	School Safety Planning and Training	Pending	Relates to classroom safety mechanisms, emergency medical equipment, and evidence-based best practices for school safety planning and training.	Education Use; Government Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A4534&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York	A 8110	Admissibility of Evidence Created or Processed by AI	Pending	Sets rules and procedures for the admissibility of evidence created or processed by AI.	Government Use; Judicial Use	http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A8110&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
