Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
Kentucky	H 672	Protection of Information	Failed - Adjourned	Defines terms relating to AI; requires the Commonwealth Office of Technology to establish and implement policy standards for the use of AI; creates the AI Governance Committee; relates to tasks the committee with the establishment of responsible, ethical, and transparent procedures for the allowable use, development, and approval of AI for any department, program, cabinet, agency and administrative body.	Private Sector Use; Responsible Use; Cybersecurity; Private Right of Action; Criminal Use; Impact Assessment; Audit
Kentucky	S 62	Geoengineering	Failed - Adjourned	Makes findings and declarations regarding the dangers of atmospheric polluting activities and the Commonwealth's authority to prohibit geoengineering; defines terms; makes criminal atmospheric pollution a Class D felony; requires that a person found guilty of criminal atmospheric pollution pay a civil penalty of not less than $500,000 in addition to all other penalties authorized by law; provides that each day that a person engages in criminal atmospheric pollution constitutes a separate offense.	Criminal Use; Government Use; Private Sector Use
Louisiana	H 1	Appropriations	Enacted	Makes annual appropriations for Fiscal Year 2025-2026 for the ordinary expenses of the executive branch of state government, pensions, public schools, public roads, public charities, and state institutions and providing with respect to the expenditure of said appropriations. Includes appropriations to the Lafourche Parish District Attorney's Office for a partnership with Nicholls State University to enhance investigative capabilities using AI.	Appropriations; Judicial Use
Louisiana	H 178	Civil and Procedure	Enacted	Prohibits an attorney from producing false evidence and including evidence that is artificially generated or altered by any means.	Judicial Use; Government Use
Louisiana	H 608	Environment	Failed	Creates the State Atmospheric Protection Act.	Criminal Use; Government Use; Private Sector Use
Louisiana	HR 272	Courts and Court Reporters	Adopted	Provides for a study of court reporter per-page transcription rates in state and a study of digital court reporting, including using AI, as an alternative to traditional reporting.	Judicial Use; Government Use
Maine	S 223	Processes and Fees in the Probate Court System	Pending - Carryover	Updates processes and fees in the probate court system.	Government Use; Judicial Use
Maine	H 1303a	Threatened Unauthorized Dissemination of Private Images	Enacted	Provides that a person is guilty of unauthorized dissemination of certain private images if the person, with the intent to harass, torment or threaten the depicted person or another person, intentionally or knowingly disseminates, displays or publishes an image of another person in a state of nudity or engaged in a sexual act or engaged in sexual contact or an image that has been created or modified so that it appears to show the depicted person in a state of nudity or engaged in a sexual act.	Criminal Use; Child Pornography
Maryland	H 5	Child Pornography	Failed - Adjourned	Concerns Criminal Law; relates to child pornography; relates to AI software.	Child Pornography; Criminal Use
Maryland	H 589	AI Civil and Criminal Liabilities	Failed - Adjourned	Establishes that a person who intentionally, knowingly, or negligently designs or creates AI software able to cause physical injury or death is strictly liable for damages and subject to a civil penalty if the software is used to cause personal injury or death; prohibits a person from intentionally, knowingly, or negligently designing or creating AI software able to cause injury or death.	Criminal Use
Maryland	H 782	Study on Detecting Deadly Weapons in Schools	Enacted	Requires the State Center for School Safety to study how best to detect deadly weapons in public middle and high schools and how best to rapidly report the detection of weapons to a law enforcement agency; requires the State Center for School Safety to request any available assessment of the technologies evaluated under this Act.	Studies; Education Use
Maryland	H 966	AI Evidence Clinic Pilot Program	Failed - Adjourned	Establishes an AI Evidence Clinic Pilot Program within the Administrative Office of the Courts to provide expertise in AI to the circuit courts and the District Court in the form of expert testimony on the authenticity of electronic evidence that a court determines may have been created or altered using AI; authorizes the Governor, for fiscal years 2027 and 2028, to include an appropriation of a specified amount in the annual budget bill.	Government Use; Judicial Use; Studies
Maryland	H 1089	Building Information Guardrails Data Act of 2025	Failed - Adjourned	Establishes the Privacy Protection and Enforcement Unit within the Division of Consumer Protection in the Office of the Attorney General; establishes a data broker registry; requires certain data brokers to register each year with the Comptroller; imposes a tax on the gross income of certain data brokers for taxable years beginning after a specified date; requires the revenue from the data broker tax be used by Maryland Public Television to provide digital literacy support to students.	Criminal Use; Private Sector Use; Responsible Use
Maryland	H 1384	Howard County Study on Detecting Deadly Weapons	Failed	Requires the Howard County Board of Education to study how best to detect deadly weapons in Howard County public middle and high schools and how best to rapidly report the detection of weapons to a law enforcement agency; requires, by a specified date, in a manner that does not jeopardize school safety, the Howard County Board of Education to report on the findings of its study to the State Superintendent of Schools and the Howard County Delegation to the General Assembly.	Education Use; Studies
Maryland	H 1407	Voice and Visual Likeness Digital Replication Rights	Failed - Adjourned	Establishes that each individual and a certain right holder have the right to authorize the use of the voice or visual likeness of the individual in a digital replica; provides that the right does not expire on the death of the individual and is transferable or licensable in a certain manner; provides that the right terminates after a certain period of time; requires an online service to designate an agent for certain purposes.	Criminal Use; Private Sector Use
Maryland	H 1425	AI and Deepfake Representations	Failed - Adjourned	Prohibits a person from utilizing certain personal identifying information or engaging in certain conduct in order to cause certain harm; prohibits a person from using certain AI or certain deepfake representations for certain purposes; provides that a person who is the victim of certain conduct may bring a civil action against a certain person.	Criminal Use; Notification; Private Sector Use
Maryland	S 361	Fraudulent Vote Influencing	Failed - Adjourned	Prohibits a person from using fraud; influences or attempts to influence a voter's voting decision; provides that fraud; includes the use of synthetic media.	Elections; Criminal Use
Maryland	S 655	AI Evidence Clinic Pilot Program	Vetoed	Establishes an AI Evidence Clinic Pilot Program within the Administrative Office of the Courts; requires the Administrative Office of the Courts to develop a grant application for the Program and award grants to eligible institutions of higher education; authorizes the Governor to include in the annual budget bill an appropriation to the Program and establishing a certain limitation on the expenditure of appropriated funds.	Judicial Use; Studies; Government Use
Maryland	S 904	Building Information Guardrails Data Act of 2025	Failed - Adjourned	Establishes the Privacy Protection and Enforcement Unit within the Division of Consumer Protection in the Office of the Attorney General; establishes a data broker registry; requires certain data brokers to register each year with the Comptroller; imposes a tax on the gross income of certain data brokers for taxable years beginning after a specified date.	Oversight/Governance; Private Sector Use
Maryland	S 905	AI and Deepfake Representations	Failed - Adjourned	Prohibits a person from utilizing certain personal identifying information or engaging in certain conduct in order to cause certain harm; prohibits a person from using certain AI or certain deepfake representations for certain purposes; provides that a person who is the victim of certain conduct may bring a civil action against a certain person.	Private Right of Action; Private Sector Use; Criminal Use
Maryland	S 1025	Digital Replication Rights	Failed - Adjourned	Establishes that each individual and a certain right holder have the right to authorize the use of the voice or visual likeness of the individual in a digital replica; provides that the right does not expire on the death of the individual and is transferable or licensable in a certain manner; provides that the right terminates after a certain period of time; requires an online service to designate an agent for certain purposes.	Criminal Use; Private Sector Use
Massachusetts	H 76	Materially Deceptive Election Related Communications	Pending	Relates to materially deceptive election-related communications.	Elections; Criminal Use
Massachusetts	H 846	Synthetic Media in Political Advertising	Pending	Relates to disclosure requirements for synthetic media in political advertising.	Elections; Criminal Use
Massachusetts	H 1931	Protections Against Child Exploitation	Pending	Enhances protections against child exploitation and misuse of emerging technologies.	Child Pornography; Criminal Use
Massachusetts	S 44	Election Communications	Pending	Relates to deceptive and fraudulent deepfakes in election communications.	Elections; Criminal Use
Massachusetts	S 243	Simulates Human Conversation or Chatter	Pending	Provides that simulates human conversation or chatter through text or voice interactions.	Criminal Use; Notification; Private Sector Use
Massachusetts	S 264	AI Chatbots	Pending	Protects consumers interacting with AI chatbots.	Private Sector Use; Criminal Use; Notification
Michigan	H 4667	Artificial Intelligence	Pending	Prohibits use of AI to commit certain crimes.	Criminal Use
Michigan	H 4668	Artificial Intelligence Models	Pending	Provides for requirements and safety standards for developers of certain AI models.	Responsible Use; Judicial Use; Private Sector Use; Cybersecurity; Audit
Minnesota	H 1895	Nudification Technology	Pending - Carryover	Relates to commerce; prohibits access to nudification technology.	Criminal Use; Private Sector Use
Minnesota	H 2432	Public Safety	Enacted	"Relates to public safety; provides for public safety and corrections policy; establishes Minnesota victims of crime account; modifies certain fees; establishes monetary assessments for certain corporate and individual offender convictions; transfers financial crimes and fraud investigations to the Financial Crimes and Fraud Section in the Bureau of Criminal Apprehension. Amends definitions of ""child sexual abuse material' to include materials created by generative AI."	Criminal Use; Child Pornography
Minnesota	S 1417	Victims of Crime Account	Failed	Establishes Minnesota Victims of Crime Account; provides for law enforcement agency registration with eTrace System to provide firearm information; transfers financial crimes and fraud investigations to Financial Crimes and Fraud Section in Bureau of Criminal Apprehension; provides for crime of theft of public funds; provides for order for protection against financial exploitation of vulnerable adult; modifies statutory forms for garnishment.	Child Pornography; Criminal Use; Government Use
Minnesota	S 1577	Public Safety	Pending - Carryover	Relates to public safety; prohibits AI generated child sexual abuse material and possession, sale, creation, dissemination, and purchase of child-like sex dolls.	Child Pornography; Criminal Use
Minnesota	S 1857	Access Chatbots for Recreational Purposes	Pending - Carryover	Relates to commerce; prohibits persons from allowing minors to access chatbots for recreational purposes; provides civil penalties.	Private Sector Use; Criminal Use
Mississippi	S 2202	Images or Audio Altered or Created By Digitization	Failed	Criminalizes the unlawful dissemination or publication of an intimate or nonintimate image or audio created or altered by digitization where the image or audio is disseminated or published with intent to cause harm to the emotional, financial or physical welfare of another person and the actor knew or reasonably should have known that the person depicted did not consent to such dissemination or publication; defines terms; provides that the crimes include the use of images or audio created or altered.	Criminal Use
Mississippi	S 2437	Prohibition of Exploitation By Deepfakes Act	Failed	Enacts the Prohibition of Exploitation By Deepfakes Act; defines terms; prohibits the use of interactive computer services to knowingly publish intimate visual depictions of identifiable individuals in certain circumstances; describes certain exceptions; prohibits use of an interactive computer service to publish a morphed image of an identifiable individual in certain circumstances; provides penalties for violations of this act; stipulates that consent for the creation of an intimate visual depiction.	Criminal Use
Mississippi	S 2642	AI Use in Political Advertisements	Failed	Amends Section 23-15-897, Mississippi Code of 1972, to require qualified political advertisements that utilize AI to disclose the use of AI to the public; defines what is considered a qualified political advertisement and AI as used in this section; clarifies what information must be present in an advertisement to satisfy the disclosure requirement.	Elections; Notification; Criminal Use
Mississippi	S 2796	Ensuring Likeness Voice and Image Security Act	Failed	Enacts the Ensuring Likeness, Voice and Image Security Act of 2025; defines terms; stipulates that every individual has a property right in the use of that individual's name, photograph, voice or likeness; stipulates that property rights provided in this act are exclusive to the individual; implements commercial exploitation guidelines; creates a civil action upon violation of this act; stipulates that violation of this act is a class a misdemeanor.	Private Sector Use; Criminal Use
Missouri	H 362	Disclosure of Intimate Digital Depictions	Failed - Adjourned	Creates the offense of and civil penalties for disclosure of intimate digital depictions.	Criminal Use
Missouri	H 1462	AI Non Sentience and Responsibility Act	Failed - Adjourned	Establishes the A.I. Non-Sentience and Responsibility Act.	Criminal Use; Personhood; Private Sector Use
Missouri	S 509	AI in Elections Provisions	Failed - Adjourned	Creates new provisions relating to the use of AI in elections.	Elections; Provenance; Criminal Use
Missouri	S 604	Disclosure of an Intimate Digital Depiction	Failed - Adjourned	Creates the offense of disclosure of an intimate digital depiction.	Criminal Use
Montana	H 82	Crimes Against Children	Enacted	Creates the offense of grooming of a child for a sexual offense; revises certain crimes to include a law enforcement officer whom the offender believed to be a child; revises the offense of sexual abuse of children to include computer generated child pornography; adds the offense of grooming of a child for a sexual offense to the definition of sexual offense; provides for penalties.	Child Pornography; Criminal Use
Montana	H 513	Property Right In Use Of Names, Voices, and Likenesses	Enacted	Revises laws related to use of name, voice, and visual likeness of individuals and penalties for unauthorized use; defines digital visual depiction as realistic depiction made for commercial use of the visual likeness of an individual that is created or altered in whole or in part using digital technology in a way that the depiction is nearly indistinguishable from an actual depiction of the individual.	Criminal Use; Private Sector Use
Montana	H 514	Sexually Explicit Images	Enacted	Criminalizes use of real and digitally fabricated sexually explicit images.	Criminal Use
Montana	S 25	Use Of Deepfakes In Election Communications	Enacted	Regulates the use of deepfakes in election communications and electioneering communications; provides definitions; provides exceptions; provides for injunctive relief, actual damages, and punitive damages; provides for the filing of a complaint with the commissioner of political practices; provides penalties.	Elections; Criminal Use
Montana	S 212	Right to Compute Act	Enacted	Provides that when critical infrastructure facilities are controlled in whole or in part by a critical AI system, the deployer shall develop a risk management policy after deploying the system that is reasonable and considers guidance and standards in the latest version of the AI risk management framework from, among others, the National Institute of Standards and Technology or another nationally or internationally recognized risk management framework for AI.	Criminal Use; Oversight/Governance; Private Sector Use
Montana	S 413	Crime of Disclosing Explicit Synthetic Media	Enacted	Creates the crime of disclosing explicit synthetic media; provides definitions; requires certain entities to provide information to the Department of Justice on request; provides an immediate effective date and an applicability date.	Notification; Criminal Use; Child Pornography
Nebraska	L 172	Computer-Generated Child Pornography	Pending	Prohibits conduct involving computer-generated child pornography.	Child Pornography; Criminal Use
Nebraska	L 383	Child Sexual Abuse Material	Enacted	Provides that it shall be unlawful for a person 19 years of age or older to knowingly possess or receive any child sexual abuse material; provides that it shall be unlawful for a person under 19 years of age to knowingly and intentionally possess or receive any child sexual abuse material.	Child Pornography; Criminal Use
Nevada	A 126	Pornography Involving Minors	Failed	Revises provisions relating to pornography involving minors.	Child Pornography; Criminal Use
Nevada	A 187	Pornography	Failed	Revises provisions relating to pornography.	Child Pornography; Criminal Use
Nevada	A 271	Elections	Failed	Revises provisions relating to elections.	Elections; Criminal Use; Private Sector Use
Nevada	S 199	AI Systems	Failed	Relates to AI systems; provides for the registration and regulation of AI companies by the Bureau of Consumer Protection in the Office of the Attorney General; imposes certain requirements and restrictions upon certain persons engaged in certain activities relating to AI systems; requires the Department of Employment, Training and Rehabilitation to collect and report certain information relating to AI systems.	Private Sector Use; Oversight/Governance
Nevada	S 263	Pornography Involving Minors	Enacted	Relates to crimes; expands certain prohibitions relating to pornography involving minors; revises the penalties for certain crimes relating to pornography involving minors; provides other matters properly relating thereto; closes title an act relating to crimes; expands certain prohibitions relating to pornography involving minors; revises the penalties for certain crimes relating to pornography involving minors; provides other matters properly relating thereto.	Child Pornography; Criminal Use
New Hampshire	S 263	Responsive Generative Communication	Pending	Criminalizes and creates a private right of action for the facilitation, encouragement, offer, solicitation, or recommendation of certain acts or actions through a responsive generative communication to a child.	Private Sector Use; Private Right of Action; Criminal Use
New Jersey	A 3912	Identity Theft	Pending	Extends crime of identity theft to include fraudulent impersonation or false depiction by means of AI or deepfake technology.	Criminal Use
New Jersey	A 5164	News Media Industry AI Regulations	Pending	Regulates AI in the news media industry; establishes AI In Communications Oversight Committee.	Private Sector Use; Oversight/Governance; Criminal Use
New Jersey	A 5615	Law Enforcement Artificial Intelligence Use	Pending	Requires attorney general to study use of AI for certain law enforcement purposes and issue report.	Government Use; Studies
New Jersey	A 5616	Law Enforcement Facial Recognition Technology Use	Pending	Requires attorney general to study law enforcement use of facial recognition technology and issue report with recommendations for statewide policy.	Government Use; Studies
New Jersey	A 5848	AI Technology Related Child Endangerment	Pending	Modifies child endangerment statute to include AI technology; establishes criminal penalties.	Criminal Use
New Mexico	H 221	Voice and Visual Likeness Rights Act	Failed - Adjourned	Relates to intellectual property; enacts the voice and visual likeness rights act; provides for private enforcement; prescribes civil remedies.	Private Right of Action; Private Sector Use; Criminal Use
New Mexico	H 401	Synthetic Content Accountability Act	Failed - Adjourned	Relates to AI synthetic content accountability act.	Private Sector Use; Criminal Use; Notification; Responsible Use; Cybersecurity
New Mexico	S 85	Campaign Finance Changes	Failed - Adjourned	Relates to campaign finance changes.	Elections; Criminal Use
New York	A 235	AI System	Pending	Requires the owner, licensee or operator of a visual or audio generative AI system to take steps to prohibit its users from creating unauthorized realistic depictions of public officials.	Criminal Use; Private Sector Use
New York	A 399	Robotic Device	Pending	Prohibits the manufacture, modification, sale, transfer, equipping, use, or operation of a robotic device or an uncrewed aircraft equipped or mounted with a weapon within the state.	Criminal Use; Responsible Use; Government Use
New York	A 768	AI Consumer Protection Act	Pending	"Enacts the ""New York AI consumer protection act"", in relation to preventing the use of AI algorithms to discriminate against protected classes."	Private Sector Use; Responsible Use; Cybersecurity; Criminal Use
New York	A 1071	Reckless Promotion of Unlawful or False Material	Pending	Prohibits the knowing and reckless promotion of unlawful or false material; provides remedies for the violation of such prohibition.	Criminal Use; Private Right of Action; Private Sector Use
New York	A 1280	Unlawful Dissemination of Fabricated Images or Audio	Pending	Establishes the crime of unlawful dissemination or publication of a fabricated photographic, videographic, or audio record as a class E felony.	Criminal Use; Education Use; Private Sector Use
New York	A 1338	Artificial Intelligence	Pending	Sets rules and procedures for the admissibility of evidence created or processed by AI.	Judicial Use
New York	A 1342	Advanced AI Systems	Pending	Requires the collection of oaths of responsible use from users of certain generative or surveillance advanced AI systems by the operators of such systems, and transmission of such oaths to the attorney general.	Responsible Use; Criminal Use; Private Sector Use
New York	A 2249	Model Management Group	Enacted	Amends the Labor Law; relates to model management companies and model management groups; relates to the state Fashion Workers Act; provides that a model management company or model management group shall not engage in business in the state or enter into any arrangement with a client or model for the purpose of providing model management company or model management group services in the state unless the model management company or model management group is registered; provides for exceptions.	Private Sector Use; Criminal Use
New York	A 3125	Use of Automated Decision Tools by Landlords	Pending	Relates to the use of automated housing decision making tools to make housing decisions.	Housing; Responsible Use; Private Sector Use; Criminal Use
New York	A 3356	Advanced AI Licensing Act	Pending	"Enacts the ""advanced AI licensing act""; provides for regulation of advanced AI systems (Part A); requires registration and licensing of high-risk advanced AI systems and related provisions regarding the operation of such systems (Part B); establishes the advanced AI ethical code of conduct (Part C); prohibits the development and operation of certain AI systems (Part D)."	Private Sector Use; Responsible Use; Oversight/Governance; Criminal Use; Impact Assessment
New York	A 3914	Automated Hiring Decision Tool Regulation	Pending	Establishes criteria for the use of automated employment decision tools; provides for enforcement for violations of such criteria.	Effect on Labor/Employment; Criminal Use; Private Sector Use
New York	A 3924	Privacy Rights Involving Digitization	Pending	Relates to privacy rights involving digitization; provides that such right of privacy and action for injunction and damages shall include a portrait, picture, likeness or voice created or altered by digitization.	Private Sector Use; Criminal Use
New York	A 3969	Commission on Forensic Science	Pending	Updates the membership, powers, duties and procedures of the commission on forensic science; establishes the scientific advisory committee, the social justice, ethics, and equity assessment committee and the forensic analyst license advisory committee; makes conforming changes.	Responsible Use; Studies; Judicial Use; Government Use
New York	A 4970	School Safety Planning and Training	Pending	Relates to classroom safety mechanisms, emergency medical equipment, and evidence-based best practices for school safety planning and training.	Education Use; Government Use
New York	A 6453	AI Frontier Models	Pending	Relates to the training and use of AI frontier models; provides that, before deploying a frontier model, the large developer of such model shall, among other things, implement a written safety and security protocol, grant the Division of Homeland Security and Emergency Services or the Attorney General access t the safety and security protocol, and implement appropriate safeguards to prevent unreasonable risk of critical harm; provides for civil actions and penalties for violations.	Provenance; Criminal Use; Cybersecurity; Oversight/Governance; Responsible Use
New York	A 6491	Creation and Dissemination of Synthetic Media	Pending	Prohibits the creation and dissemination of synthetic media within a specified number of days of an election with intent to unduly influence the outcome of an election; makes such act a class E felony.	Elections; Criminal Use
New York	A 6540	Generative Artificial Intelligence Providers	Pending	Requiring synthetic content creations system providers to include provenance data on synthetic content produced or modified by a synthetic content creations system that the synthetic content creations system provider makes available.	Provenance; Criminal Use; Government Use
New York	A 6545	Liability for Damages Caused by Chatbot	Pending	Imposes liability for damages caused by a chatbot impersonating licensed professionals or giving any medical or psychological advice.	Criminal Use; Private Sector Use
New York	A 6767	Provision of an AI Companion	Pending	Prohibits the provision of an AI companion to a user unless such AI companion contains a protocol for addressing possible suicidal ideation or self-harm expressed by a user, possible physical harm to others expressed by a user, and possible financial harm to others expressed by a user; requires certain notifications to certain users regarding crisis service providers and the non-human nature of such companion models.	Private Sector Use; Notification; Criminal Use
New York	A 7172	Division of Criminal Justice Services	Pending	Requires the division of criminal justice services to formulate a protocol for the regulation of the use of AI and facial recognition technology in criminal investigations; restricts the use of AI-generated outputs in court.	Government Use; Judicial Use
New York	A 8022	Operator of a Covered Platform	Pending	Requires an operator of a covered platform with at least 1 million users to ensure that its covered platform provides a process to allow law enforcement agencies to contact such covered platform, which shall include making available a staffed hotline for the purposes of receiving and responding to questions about search warrants, acknowledging receipt of search warrants; provides status updates on warrant compliance, and which shall provide continuous availability of such process.	Private Sector Use; Criminal Use; Government Use; Judicial Use
New York	A 8546	Certification of Filings Produced Using Generative AI	Pending	Amends the Civil Practice Law & Rules Law; requires certification of filings produced using generative AI; requires the brief of an appellant to contain a disclosure of the use of generative AI in the drafting of the brief and certification that the content therein was reviewed and verified by a human.	Judicial Use
New York	A 8884	Development and Use of Artificial Intelligence Systems	Pending	Regulates the development and use of certain AI systems to prevent algorithmic discrimination; requires independent audits of high risk ai systems; provides for enforcement by the attorney general as well as a private right of action.	Audit; Private Sector Use; Responsible Use; Impact Assessment; Private Right of Action; Criminal Use
New York	S 463	Promotion of Unlawful Material	Pending	Prohibits the knowing and reckless promotion of unlawful or false material; provides remedies for the violation of such prohibition.	Criminal Use; Private Right of Action; Private Sector Use
New York	S 823	Model Management Group	Pending	Defines model management group; provides for the registration process for model management groups; provides for exemption from registration requirements for model management companies and groups.	Private Sector Use; Criminal Use
New York	S 1169	Development and Use of AI Systems	Pending	Regulates the development and use of certain AI systems to prevent algorithmic discrimination; requires independent audits of high risk ai systems; provides for enforcement by the attorney general as well as a private right of action.	Private Right of Action; Responsible Use; Audit
New York	S 1228	Advertisements	Pending	Requires advertisements to disclose the use of a synthetic performer; imposes a specified dollar civil penalty for a first violation and a specified dollar penalty for any subsequent violation.	Notification; Private Sector Use; Criminal Use
New York	S 1274	Commission on Forensic Science	Pending	Updates the membership, powers, duties and procedures of the commission on forensic science; establishes the scientific advisory committee, the social justice, ethics, and equity assessment committee and the forensic analyst license advisory committee; makes conforming changes.	Studies; Responsible Use; Judicial Use; Government Use
New York	S 1962	NY AI Consumer Protection Act	Pending	"Enacts the ""New York AI consumer protection act"", in relation to preventing the use of AI algorithms to discriminate against protected classes."	Responsible Use; Private Sector Use; Impact Assessment; Audit; Criminal Use
New York	S 2414	Political AI Disclaimer Act	Pending	"Enacts the ""Political AI Disclaimer (PAID) act""; requires political communications that use synthetic media to disclose that they were created with the assistance of AI; requires committees that use synthetic media to maintain records of such usage."	Elections; Notification; Criminal Use
New York	S 2698	Certification of Filings Produced Using Generative AI	Pending	Amends the Civil Practice Law & Rules Law; requires certification of filings produced using generative AI; requires the brief of an appellant to contain a disclosure of the use of generative AI in the drafting of the brief and certification that the content therein was reviewed and verified by a human.	Judicial Use; Notification
New York	S 3008	Transportation and Economic Development Budget	Enacted	"Enacts into law major components of legislation necessary; implements the state transportation, economic development and environmental conservation budget for the 2025-2026 state fiscal year; relates to the waterfront commission act; makes amendments; changes ""applicant"" to licensee or registrant."	Private Sector Use; Notification; Appropriations; Criminal Use
New York	S 3133	Robotic Device or Uncrewed Aircraft with a Weapon	Pending	Prohibits the manufacture, modification, sale, transfer, equipping, use, or operation of a robotic device or an uncrewed aircraft equipped or mounted with a weapon within the state.	Criminal Use; Government Use; Private Sector Use
New York	S 3202	Sexually Explicit Depictions of Children	Pending	Prohibits accessing or distributing certain sexually explicit depictions of children; prohibits consent to such depictions by anyone under eighteen years of age; makes such crimes eligible for bail; includes certain crimes as sex offenses.	Child Pornography; Criminal Use
New York	S 4394	Use of Automated Employment Decision Tools	Pending	Establishes criteria for the use of automated employment decision tools; provides for enforcement for violations of such criteria.	Effect on Labor/Employment; Impact Assessment; Criminal Use
New York	S 5668	Liability for Harmful Information from Chatbot	Pending	Imposes liability for misleading, incorrect, contradictory or harmful information to a user by a chatbot that results in financial loss or other demonstrable harm.	Private Sector Use; Criminal Use
New York	S 6278	Aggravated Harassment by Means of Digital Communication	Pending	Establishes the crime of aggravated harassment by means of electronic or digital communication; provides for a private right of action for the unlawful dissemination or publication of deep fakes, which are digitized images which are altered to incorporate a person's face or their identifiable body part onto an image and such image depicts a pornographic or lewd sex act or graphic violence.	Criminal Use; Private Right of Action
New York	S 6953	Use of AI Frontier Models	To Governor	Relates to the training and use of AI frontier models; defines terms; establishes remedies for violations.	Provenance; Private Sector Use; Criminal Use; Notification
New York	S 6954	Generative AI Providers	Pending	Requires synthetic content creations system provider to apply provenance data, either directly or through the use of third-party technology, to synthetic content produced or modified by a synthetic content creations system that the synthetic content creations system provider makes available.	Provenance; Government Use; Criminal Use; Private Sector Use
New York	S 7033	Algorithmic Pricing Discrimination Act	Pending	Enacts the preventing algorithmic pricing discrimination act; requires the disclosure of algorithmically set prices.	Notification; Responsible Use; Criminal Use
New York	S 7263	Liability for Damages Caused By a Chatbot	Pending	Imposes liability for damages caused by a chatbot impersonating certain licensed professionals.	Criminal Use; Private Sector Use; Private Right of Action; Notification
New York	S 7882	Residential Rental Dwelling Units	To Governor	Prohibits a person or entity from knowingly or with reckless disregard facilitate an agreement between or among two or more residential rental property owners or managers to not compete with respect to residential rental dwelling units, including by operating or licensing a software, data analytics service, or algorithmic device that performs a coordinating function on behalf of or between and among such residential rental property owners or managers.	Housing; Private Sector Use; Criminal Use
New York	S 7963	Political Communications	Pending	Requires certain political communications to include provenance data for all audios, images or videos used in such communications; provides for the repeal of certain provisions upon the expiration thereof.	Provenance; Elections; Criminal Use
New York	S 8217	Law Enforcement Agencies Staffed Hotline	Pending	Relates to requiring certain covered platforms to provide a process for law enforcement agencies to contact such platform and to comply with search warrants within seventy-two hours.	Private Sector Use; Government Use; Criminal Use
New York	S 8331	Artificial Intelligence Transparency for Journalism Act	Pending	Requires transparency from generative AI developers for journalism providers.	Private Sector Use; Provenance; Criminal Use
New York	S 8420	Disclosure of Use of Synthetic Performer in Ads	To Governor	Requires advertisements to disclose the use of a synthetic performer; imposes a specified amount civil penalty for a first violation and a specified amount penalty for any subsequent violation.	Notification; Private Sector Use; Criminal Use
North Carolina	H 375	Artificial Intelligence	Pending	Regulates the use of deepfakes and deceptive advertisements in elections and protect minors and the general public from misuse of AI and synthetic media.	Elections; Criminal Use; Private Sector Use
North Carolina	H 934	AI Regulatory Reform Act	Pending	Amends the criminal laws creates the offense of unlawful distribution of a deepfake; amends the civil procedure laws to grant immunity from civil liability to developers of AI products used by learned professionals.	Criminal Use; Private Sector Use
North Carolina	H 936	Robocall Solicitation Modifications	Pending	Modifies the laws governing telephone solicitations to address robocalls.	Private Sector Use; Notification; Criminal Use
North Carolina	S 624	AI Chatbots	Pending	Regulates AI chatbot licensing, safety, and privacy in the State.	Private Sector Use; Cybersecurity; Criminal Use
North Dakota	H 1320	Prohibiting Deepfake Videos and Images	Failed	Relates to prohibiting deepfake videos and images; provides a penalty.	Criminal Use
North Dakota	H 1386	Computer Generated Images	Enacted	Relates to a prohibition on possessing certain computer generated images; provides that a person is guilty of a class C felony if, knowing of its character and content, that person knowingly possesses computer-generated image, that includes sexual conduct by a minor; provides that an individual violating this section is guilty of a class B felony if the offense involved twenty or more images and the offense involved sadistic or masochistic conduct or other depictions of violence.	Criminal Use; Child Pornography
North Dakota	H 1410	Legislative Management Study	Enacted	Provides that, during the specified interim, the Legislative Management shall consider studying State laws relating to criminal conduct against children, child sexual abuse, child physical abuse, child neglect, and human trafficking of children; provides that the study must include a review of, among other things, the use of the term child sexually abusive material instead of the term sexual performance to describe child pornography or sexual conduct of a minor.	Studies; Child Pornography
North Dakota	H 1429	Harassment and Stalking with a Robot	Enacted	Relates to harassment and stalking with a robot; provides a penalty; relates to an artificial object or system that senses, processes, and acts using technology, including the associated elements, communication links, and AI.	Criminal Use
North Dakota	H 1613	Law Enforcement Use of a Drone or Robot	Enacted	Relates to law enforcement use of a robot; provides that a law enforcement agency may not authorize the use of a robot to deploy a lethal weapon, unless the weapon is controlled remotely, cannot be activated autonomously, and is used to neutralize an inanimate object at risk of exploding or causing an immediate threat to public safety or property, among other things.	Government Use
North Dakota	S 2186	Removal or Withholding of a Child	Enacted	Relates to interference with court-ordered parenting time; creates a child custody review task force; provides for a legislative management report; provides a penalty.	Judicial Use; Studies
Ohio	H 362	Regulate Fraudulent Synthetic Media	Pending	Regulates the dissemination of deceptive and fraudulent synthetic media for the purpose of influencing the results of an election.	Elections; Notification; Criminal Use; Private Right of Action
Oklahoma	H 1364	Crimes and Punishments	Enacted	Relates to crimes and punishments; relates to the Oklahoma Law on Obscenity and Child Sexual Abuse Material; defines terms; makes certain acts unlawful.	Criminal Use; Child Pornography
