Jurisdiction	Bill Number	Bill Title	Bill Status	Bill Summary	Category
Virginia	H 747	AI Developer Act	Failed	Relates to AI Developer Act established; relates to civil penalty; creates operating standards for developers and deployers, as those terms are defined in the bill, relating to AI, including avoiding certain risks, protecting against discrimination, providing disclosures, and conducting impact assessments and provides that the Office of the Attorney General shall enforce the provisions of the bill.	Private Sector Use; Impact Assessment ; Responsible Use; Health Use
Virginia	H 1525	AI-Generated Image	Failed	Relates to unauthorized creation of image of another; relates to AI-generated image; relates to penalties; creates a Class 1 misdemeanor for any person who knowingly and intentionally creates any videographic or still image using AI of any nonconsenting person if that person is totally nude, performing sexual acts, clad in undergarments, or in a state of undress so as to expose the genitals, pubic area, buttocks, or female breast and such.	Criminal Use
Virginia	H 1642	Criminal Justice Risk Assessments	Enacted	Relates to criminal justice risk assessments; relates to human oversight; requires that the recommendations or predictions provided by any AI-based tool, defined in the bill, utilized for criminal justice purposes, including recommendations or predictions related to pretrial release, sentencing, probation, or parole, shall be reviewed and approved by a qualified human decision maker prior to using any such recommendations or predictions in making or informing a final decision.	Government Use; Judicial Use
Virginia	H 2288	Unlawful Dissemination of Intimate Images of Another	Failed - Adjourned	Relates to unlawful dissemination of intimate images of another; relates to penalties; creates a tiered system of penalties for the unlawful dissemination of intimate images of another person, an offense formerly known as the unlawful dissemination or sale of videographic or still images of another person.	Criminal Use
Virginia	H 2433	Law Enforcement Agencies	Failed	Relates to law-enforcement agencies; relates to use of certain technologies and interrogation practices; relates to forensic laboratory accreditation; directs the Department of Criminal Justice Services to establish a comprehensive framework for the use of generative AI (AI), machine learning systems, audiovisual surveillance technologies, and custodial and noncustodial interrogations of adults and juveniles by law-enforcement agencies.	Government Use; Judicial Use
Virginia	H 2654	Unlawful Dissemination of Intimate Images	Failed - Adjourned	Relates to unlawful dissemination of intimate images of another; relates to penalties.	Criminal Use
Virginia	H 2692	Custodial Interrogations	To Governor	Relates to custodial interrogations; relates to false statements to a child prohibited; relates to inauthentic replica documents; prohibits law-enforcement officers from intentionally making false statements or materially misrepresenting any fact, including by use of inauthentic replica documents, prior to or during a custodial interrogation of a child to secure the cooperation, confession, or conviction of such child; defines inauthentic replica documents as any documents, including computer.	Government Use; Judicial Use
Washington	S 5094	Sexually Explicit Depictions of Minors	Pending - Carryover	Concerns sexually explicit depictions of minors.	Child Pornography; Criminal Use
Washington	S 5105	Offenses Involving Fabricated Depictions of Minors	Pending - Carryover	Relates to sexually explicit depictions of minors; provides that a person is guilty of sexual exploitation of a minor if the person, among other things, knowingly causes a minor to be photographed or part of a live performance which depicts the minor engaged in sexually explicit conduct where the minor is unconscious or unaware of the photograph or recording; provides that sexual exploitation of a minor is a class B felony.	Child Pornography; Criminal Use
Washington	SR 8651	Science Scientific Research	Adopted	Supports science, scientific research, and evidence-based decision making.	Education Use; Education/Training; Effect on Labor/Employment
West Virginia	HCR 99	Preventing Financial Fraud and Scams	Failed - Adjourned	Relates to the Resolution to study policies aimed at preventing financial fraud and scams.	Criminal Use; Studies
West Virginia	S 198	Crimes Against Chastity, Morality and Decency	Enacted	Creates definitions relating to intimate images; clarifies the offense of nonconsensual disclosure of intimate images includes certain fabricated intimate images; creates criminal offenses for nonconsensual disclosure of fabricated intimate images; clarifies the definitions relating to filming sexually explicit conduct of minors; creates definitions relating to filming sexually explicit conduct of minors; creates definitions relating to computer-generated child pornography.	Child Pornography; Criminal Use
West Virginia	S 688	4th Amendment Restoration Act	Failed - Adjourned	The purpose of this bill is to require law enforcement officers and political subdivision officials from irresponsibly utilizing certain surveillance technologies and AI facial recognition technologies, setting forth legislative findings, providing definitions, establishing parameters for the responsible and constitutional use of these technologies.	Government Use; Responsible Use
West Virginia	S 699	Environment and Humans from Geo Engineering Experiments	Failed - Adjourned	Protects environment and humans from geo engineering experiments.	Criminal Use; Private Sector Use; Government Use
Wisconsin	A 292		Pending	Concerns the use of AI or other machine assisted translation in court proceedings and of telephone or live audiovisual interpretation in criminal trials.	Judicial Use; Private Sector Use
Wisconsin	S 295	Use of Artificial Intelligence in Court Proceedings	Pending	Concerns the use of AI or other machine assisted translation in court proceedings and of telephone or live audiovisual interpretation in criminal trials.	Judicial Use
Wyoming	D 149	Misleading Synthetic Media	Failed - Adjourned	Relates to consumer protection; prohibits the dissemination of synthetic media as specified; provides definitions; provides remedies; provides penalties; provides for an effective date.	Notification; Criminal Use
